id,ENG,HIN
1701,P A T I _ P A W A N,प त ि _ प ा व न
1702,W O M E N ' S _ L I T E R A T U R E _ P R I Z E,व ु म े न ् स _ ल ि ट ् र े च र _ प ् र ा इ ज़
1703,O R B O T E C H,ऑ र ् ब ो ट े क
1704,S A D E E D,स द ी द
1705,A B D U L _ M U G H A N E E,अ ब ् द ु ल _ म ु ग ़ ा न ी
1706,G O B I,ग ो ब ी
1707,J E F F,ज े फ ् फ
1708,S A N K A L P A,स ं क ल ् प ा
1709,E H S A N U L _ H A Q U E,ए ह स ा न ु ल _ ह ॉ क
1710,L E N I N G R A D,ल े न ि न ग ् र े ड
1711,M O N G O,म ो ं ग ो
1712,J A V E D _ M I A N D A D,ज ा व े द _ म ि य ं द ा द
1713,A N D A M A N _ A N D _ N I C O B A R,अ ं द म ा न _ ए ण ् ड _ न ि क ो ब ा र
1714,P H A R M A C O L O G Y,फ ा र ् म ा क ो ल ॉ ज ी
1715,T H O P P A I Y A R _ R E S E R V O I R,थ ो प इ य र _ र ि ज़ र व ा य र
1716,P O O N A M _ K I _ R A A T,प ू न म _ क ी _ र ा त
1717,K I R L O S K A R _ G R O U P,क ि र ् ल ो स ् क र _ ग ् र ु प
1718,M I T R A V A A N,म ि त ् र व ा न
1719,L O H I T A A S H V,ल ो ह ि त ा श ् व
1720,B I J L I _ C H A M K E _ J A M A N A _ P A R,ब ि ज ल ी _ च म क े _ ज म न ा _ प ा र
1721,A M B A R E E S H,अ ं ब र ी श
1722,N I G A M,न ि ग म
1723,P I C K _ P O C K E T,प ि क _ प ॉ क े ट
1724,G U L - E - B A K A W A L I,ग ु ल - ए - ब क ा व ल ी
1725,K I N G _ E D W A R D _ V I I,क ि ं ग _ ए ड व र ् ड
1726,W I L K I N,व ि ल ् क ि न
1727,M U K A D A M,म ु क ा द म
1728,S H I R I N A,श ि र ि न ा
1729,O R D E R _ O F _ C O U R A G E,ऑ ड र _ ऑ फ _ क र े ज
1730,H A N N A N _ S A R K A R,ह न ् न ा न _ स र क ा र
1731,R O N _ H E A D L E Y,र ॉ न _ ह े ड ल े
1732,S E A L E Y,स ी ल े
1733,E L P I D A,ए ल ् प ि ड ा
1734,O D E L I A,ओ ड े ल ि आ
1735,A K O S O M B O _ D A M,ए क ो स ो म ् ब ो _ ड ै म
1736,W A R _ O F _ T H E _ B A V A R I A N _ S U C C E S S I O N,व ा र _ ऑ फ _ द _ ब े व े र ि य न _ स क ् स े श न
1737,C H A K O R I,च क ो र ी
1738,A V A N T I,अ व ं त ि
1739,L Y R I S,ल ा इ र ि स
1740,D U N D L O D,द ु ं द ल ो द
1741,R A I L W A Y _ M U S E U M _ O F _ A T H E N S,र े ल ् व े _ म ् य ु ज़ ि य म _ ऑ फ _ ए थ े न ् स
1742,A I D E E N,ऐ द ी न
1743,G R A E M E _ W A T S O N,ग ् र ी म _ व ॉ ट स न
1744,T O M A S,ट ॉ म स
1745,C U B A,क ् य ू ब ा
1746,C A L I S T A,क ै ल ि स ् त ा
1747,N E E L G I R I,न ी ल ग ि र ी
1748,W A R R E N _ W I S N E S K I,व ॉ र े न _ व ि स न े स ् क ी
1749,S H A N K A R A A C H A A R Y,श ं क र ा च ा र ् य
1750,M I A N _ M I R,म ि ल न _ म ी र
1751,R E L F,र े ल ् फ
1752,F A K I H,फ क ी ह
1753,P R A T I G H A T,प ् र त ि घ ा त
1754,S U N D A R,स ु न ् द र
1755,Y A S H O G A A N,य श ो ग ा न
1756,D E V _ G A A Y A K,द े व _ ग ा य क
1757,R E N A I S S A N C E _ T O W E R,र े न े स ा न ् स _ ट ॉ व र
1758,N A R T A N A,न र ् त न ा
1759,S U S H R U T,स ु श ् र ु त
1760,L A K E,ल े क
1761,J A M A I C A,ज म ै क ा
1762,A A D I N A T H,आ द ि न ा थ
1763,C O M M E R Z B A N K,क ॉ म र ् ज ़ ब ै ं क
1764,K A L S I,क ल स ी
1765,S H A R I F A H,श र ी फ ा ह
1766,S U S I E,स ू ज ़ ी
1767,P R A W A R A,प ् र व र ा
1768,O W A I S,ओ व ै स
1769,A L I G A R H,अ ल ी ग ढ ़
1770,O J A S,ओ ज स
1771,C A N B E R R A,क ै न ब र ा
1772,K H A H E R A,ख ह े र ा
1773,P A V I T R A _ P A P I,प व ि त ् र _ प ा प ी
1774,M U R L I N _ M U N R O,म र ् ल ि न _ म ु न र ो
1775,O U D,औ द
1776,C O N J U N T O _ S A N T A _ R I T A,क ॉ न ज ज ् य ु न ट ो _ स े ं ट ा _ र ी ट ा
1777,H A R T _ M E M O R I A L _ T R O P H Y,ह ा र ् ट _ म े म ो र ि य ल _ ट ् र ॉ फ ी
1778,H A S A N T H A _ F E R N A N D O,ह स ा ं थ ा _ फ र ् न े ं ड ो
1779,M I D W A Y,म ि ड व े
1780,M A J O R _ L E A G U E _ L A C R O S S E _ M O S T _ I M P R O V E D _ P L A Y E R _ O F _ T H E _ Y E A R _ A W A R D,म े ज र _ ल ी ग _ ल ै क ् र ो स _ म ो स ् ट _ इ म ् प ् र ू व ् ड _ प ् ल े य र _ ऑ फ _ द _ ई य र _ अ व ा र ् ड
1781,B O T E T O U R T,ब ॉ ट े ट ो र ् ट
1782,I N D R A P R A S T H A,इ ं द ् र प ् र स ् थ
1783,S A M A J H,स म झ
1784,B H A G W A N P U R,भ ग व ा न प ु र
1785,A R T H U R _ C O N A N _ D O Y L E,ऑ र ् थ र _ क ा न न _ ड ो ल ा य
1786,A V A N I S H,अ व न ी श
1787,B A B E L,ब ा ब े ल
1788,B H U T T O,भ ु ट ् ट ो
1789,H A F I Z U R _ R A H M A N,ह फ ि ज़ ु र _ र ह म ा न
1790,D A R W I N,ड ा र ् व ि न
1791,R E N E E _ Z E L L W E G E R,र ी न ी _ ज ़ े ल ी व ॅ ग र
1792,E L L E,ए ल ी न
1793,H O T E L,ह ो ट ल
1794,V A S U D E V Y A A,व स ु द े व ् य ा
1795,V I M I C R O _ I N T E R N A T I O N A L _ C O R P O R A T I O N,व ि म ा इ क ् र ो _ इ ं ट र न े श न ल _ क ॉ र ् प ो र े श न
1796,D H O O P _ C H H A O N,ध ू प _ छ ा ँ व
1797,P R A L A Y,प ् र ल य
1798,S U R A K S H A,स ु र क ् ष ा
1799,Y A T E E M,य त ी म
1800,D R A U P A D I,द ् र ौ प द ी
1801,R O Y A L _ B A N K _ O F _ S C O T L A N D,र ॉ य ल _ ब ै ं क _ ऑ फ _ स ् क ॉ ट ल ै ं ड
1802,T I R U C H I R A P A L L I,त ि र ु च ि र ा प ल ् ल ी
1803,B E N N E T T,ब े न े ट
1804,P E T R O N A S,प े ट ् र ो न स
1805,H Y U G A,ह ् य ू ग ा
1806,R E S T O R A T I O N,र े स ् ट ॉ र े श न
1807,O R D E R _ O F _ S A I N T _ G E O R G E,ऑ ड र _ ऑ फ _ स े ं ट _ ज ॉ र ् ज
1808,P A R I N D R A,प र ि ं द ् र
1809,B A D A _ A A D M I,ब ड़ ा _ आ द म ी
1810,J E F F _ D U J O N,ज े फ _ ड ु ज ो न
1811,U N I V E R S I T Y _ O F _ E A S T _ L O N D O N,य ू न ि व र ् स ि ट ी _ ऑ फ _ ई स ् ट _ ल ं ड न
1812,D O _ H A W A L D A R,द ो _ ह व ल द ा र
1813,G A U T I E R,ग ॉ त ि य र
1814,C H R I S T O P H E R _ M A R L O W E,क ् र ि स ् ट ो फ ़ र _ म ा र ल ो
1815,R A M A,र म ा
1816,P R A T A P,प ् र त ा प
1817,Y A M A G U C H I,य म ा ग ु च ी
1818,V A M A,व ा म ा
1819,J A B _ A N D H E R A _ H O T A _ H A I,ज ब _ अ ँ ध े र ा _ ह ो त ा _ ह ै
1820,K A N C H A N A A,क ं च न ा
1821,A U S T R A L,ऑ स ् ट ् र ल
1822,B A L A W A L I,ब ल ा व ा ल ी
1823,P Y A S,प ् य ा स
1824,J A N J G I R - C H A M P A,ज ा ं ज ग ी र - च ा म ् प ा
1825,B I S W A N,ब ि स व ा न
1826,E D W I N,ए ड व ि न
1827,B R I D G E P O R T _ C H R I S T I A N,ब ् र ि ज प ो र ् ट _ क ् र ि श ् च ि य न
1828,R E N O,र े न ो
1829,D O S A N J H,द ो स ा ं झ
1830,T R I S H,त ् र ि श
1831,U J J A I N,उ ज ् ज ै न
1832,L A W A A R I S,ल ा व ा र ि स
1833,O R D E R _ O F _ S P O R T S _ M E R I T,ऑ ड र _ ऑ फ _ स ् प ो र ् ट ् ‍ स _ म े र ि ट
1834,A M M A R A H,अ म ् म र ा ह
1835,A T H A W A L E,आ ठ व ल े
1836,I N T E R N A T I O N A L _ G R A N D M A S T E R S,इ ं ट र न े श न ल _ ग ् र ै ं ड म ा स ् ट र ् स
1837,O P R A _ W I N F R E,ऑ प र ा _ व ि न ् फ ़ ् र े
1838,D O C T O R _ S H A I T A N,ड ॉ क ् ट र _ श ै त ा न
1839,P I N G A L E,प ि ं ग ल े
1840,A B E E R A,अ ब ी र ा
1841,H A S I N A _ M A A N _ J A Y E G I,ह स ी न ा _ म ा न _ ज ा ए ग ी
1842,A K A S H _ P A R I,आ क ा श _ प र ी
1843,P Y A A S I _ A N K H E N,प ् य ा स ी _ आ ँ ख े ं
1844,F A U S T A,फ ॉ स ् ट ा
1845,D A W I,द व ी
1846,S I G N A L _ H I L L,स ि ग ् न ल _ ह ि ल
1847,G A M B I A,ग ा ं ब ि य ा
1848,L U A N A,ल ु आ न ा
1849,A B D U L _ M A N N A N,अ ब ् द ु ल _ म न ् न ा न
1850,L A I Q,ल ई क
1851,V E S U V I U S _ I N D I A,व े स ु व ि य स _ इ ं ड ि य ा
1852,W A D E C H,व द े च
1853,T O N Y _ K E N T _ S T R I X _ A W A R D,ट ो न ी _ क े ं ट _ स ् ट ् र ि क ् स _ अ व ा र ् ड
1854,K D D I,क ड ् ड ी
1855,F A I Q,फ ै ़ क
1856,A A G _ A U R _ S H O L A,आ ग _ औ र _ श ो ल ा
1857,B A N A V A A R E E,ब न व ा र ी
1858,D A R S H A N A A,द र ् श न ा
1859,C H O R I _ C H O R I,च ो र ी _ च ो र ी
1860,C H H U G A N I,छ ु ग न ी
1861,C H A N E T I,च न े ट ी
1862,T I R U P A T I,त ि र ु प त ी
1863,S A D H V I,स ा ध ् व ी
1864,G U R U D W A R A _ A K A L _ B U N G A,ग ु र ू द ् व ा र ा _ अ क ा ल _ ब ु ं ग ा
1865,G A R H W A L,ग ढ ़ व ा ल
1866,V A R D I,व र ् द ी
1867,P I Y A L I,प ि य ा ल ी
1868,M I S A A L,म ि स ा ल
1869,M U J A D D I D,म ु ज द ् द ि द
1870,D H A M P U R _ S U G A R,ध ा म प ु र _ श ु ग र
1871,D A R R I T O L A,द र ी त ो ल ा
1872,"S R I _ R A M A K R I S H N A _ V I D Y A S H A L A , _ M Y S O R E","श ् र ी _ र ा म क ृ ष ् ण _ व ‍ ि द ् य ा श ा ल ा , _ म ै स ू र"
1873,M I L L I C E N T,म ि ल ि स े ं ट
1874,R O N N A,र ो न ा
1875,B A L H A R S H A H,ब ल ् ह ा र श ा ह
1876,G U R U D W A R A _ M A T A _ K A U L A N _ J I,ग ु र ू द ् व ा र ा _ म ा त ा _ क ौ ल ा ं _ ज ी
1877,F O R T _ S A I N T _ P H I L I P,फ ो र ् ट _ स े ं ट _ फ ि ल ि प
1878,K U S U M A A D H I R A A J,क ु स ु म ा ध ि र ा ज
1879,T A M A _ C A N N I N G,ट ा म ा _ क ै न ि ं ग
1880,K U L L U,क ु ल ् ल ू
1881,R A N G E E L A _ R A J A,र ं ग ी ल ा _ र ा ज ा
1882,S H I V _ P A R V A T I,श ि व _ प ा र ् व त ी
1883,L A N T H A N U M,ल ै ं थ न म
1884,T U C S O N,ट ू क ् स ॉ न
1885,C O F R E _ D E _ P E R O T E,क ॉ फ र े _ ड ी _ प े र ो ट
1886,I N D O N E S I A,इ ं ड ो न े श ि य ा
1887,Y O G I N E E,य ो ग ि न ी
1888,M O S K V A,म ो स ् क ् व ा
1889,M A G R O O R,म ग र ू र
1890,D A N A _ P A N I,द ा न ा _ प ा न ी
1891,S H I L A A J E E T,श ि ल ा ज ी त
1892,R A M _ L A K H A N,र ा म _ ल ख न
1893,S A A J A N _ K A _ G H A R,स ा ज न _ क ा _ घ र
1894,R I V E R S I D E,र ि व र स ा इ ड
1895,P H A L N I K A R,फ ल ण ी क र
1896,J A C O B I T E _ R I S I N G _ I N _ S C O T L A N D,ज ै क ॉ ब ा इ ट _ र ा इ स ि ं ग _ इ न _ स ् क ॉ ट ल ै ं ड
1897,K U N T I,क ु ं त ी
1898,K U N T E,क ु ं ट े
1899,N E E D L E S _ O L D _ B A T T E R Y,न ी ड ल ् स _ ओ ल ् ड _ ब ै ट र ी
1900,G H A Z I A B A D,ग ा ज ़ ि य ा ब ा द
1901,G H A Z I A B A D,ग ा ज़ ि य ा ब ा द
1902,D H A N A K Y A,ध न क ् य ा
1903,A M A N A T H,अ म ा न ा थ
1904,H A Q D D A R,ह क ़ द ा र
1905,P Y A R _ K I Y E _ J A,प ् य ा र _ क ि ए _ ज ा
1906,V I D Y A S H A N K A R,व ि द ् य ा श ं क र
1907,Y E H _ P Y A R _ N A H I N,य े _ प ् य ा र _ न ह ी ं
1908,G U L F _ O I L,ग ल ् फ ़ _ ऑ ई ल
1909,I S H R A T,इ श र त
1910,T H E _ O R I Y A _ S A M A J A,द _ ओ ड ़ ि य ा _ स म ा ज
1911,G A D A R W A R A,ग ा ड र व ा ड ़ ा
1912,C H A N D O L I Y A A,च ं द ो ल ि य ा
1913,K U T A I,क ु त ा ई
1914,P R E M _ J A A L,प ् र े म _ ज ा ल
1915,C O C A _ C O L A _ E N T E R P R I S E S,क ो क ा _ क ो ल ा _ ए न ् ट र प ् र ा इ ज े स
1916,A L M O D A,अ ल ् म ो ड ा
1917,A C H H N E R A _ J U N C T I O N,अ छ न े र ा _ ज ं क ् श न
1918,R A I K O T I,र ा य क ो ट ी
1919,C H R I S _ S M I T H,क ् र ि स _ स ् म ि थ
1920,R A K H W A L A,र ख व ा ल ा
1921,H A R F A N _ M A U L A,ह र फ न _ म ौ ल ा
1922,G U N A H _ A U R _ K A N O O N,ग ु न ा ह _ औ र _ क ा न ू न
1923,B L E A C H,ब ् ल ी च
1924,P O W E R F U L,प ा व र फ ु ल
1925,H A K I M A H,ह क ी म ा ह
1926,E K _ D I N _ A A D H I _ R A A T,ए क _ द ि न _ आ ध ी _ र ा त
1927,S A P N A,स प न ा
1928,M A H A R A S H T R A,म ह ा र ा ष ् ट ् र
1929,D A B T A R A,द ब त ा र ा
1930,M O N R O V I A,म ो न र ो व ि य ा
1931,D A N D I Y A,ड ा ं ड ि य ा
1932,B R A J E N _ D R,ब ् र ज े न ् द ् र
1933,F E L E T I,फ े ल े ट ी
1934,W R E C K,र े क
1935,M A A Y A A,म ा य ा
1936,N E W C A S T L E,न ् य ू क ा स ल
1937,V I B H U T A A,व ि भ ु त ा
1938,D E N S O,ड े न ् स ो
1939,A S H O K _ M A N K A D,अ श ो क _ म ा ं क ड़
1940,H E M A C H A N D,ह े म च ं द
1941,E R O D E _ J U N C T I O N,इ र ो ड _ ज ं क ् श न
1942,M R I G E N D R A,म ृ ग े ं द ् र
1943,U R D U,उ र ् द ू
1944,S R I S T I,स ृ ष ् ट ि
1945,A N I R U D D H A,अ न ि र ु द ् ध
1946,B E L A G A A M,ब े ल ग ा म
1947,S H A I T A N _ K A _ P A S H,श ै त ा न _ क ा _ प ा श
1948,S A A V A R K A R,स ा व र क र
1949,H I L A L,ह ि ल ा ल
1950,G R O U P E _ D A N O N E,ग ् र ु प _ ड ै न ॉ न
1951,A N D Y _ L L O Y D,ए ण ् ड ी _ ल ॉ ए ड
1952,E V E R G R E E N _ C O M M U N I T Y,ए व र ग ् र ी न _ क म ् य ु न ि ट ी
1953,B A B R A L A,ब ा ब ् र ल ा
1954,M A H E E N,म ह ी न
1955,G U M I A,ग ु म ि य ा
1956,A B D U L _ T A W W A A B,अ ब ् द ु ल _ त व ् व ा ब
1957,A A D M I,आ द म ी
1958,G U N E R U _ B A M O R I,ग ु न े र ु _ ब ा म ो र ी
1959,J O H N _ E D R I C H,ज ॉ न _ ए ड र ि क
1960,T U N G A R,त ु ं ग र
1961,G A D D A R,ग द ् द ा र
1962,S H O K H I Y A N,श ो ख ि य ा ँ
1963,C O Y N E,क ो य न
1964,K A A L I,क ा ल ी
1965,G U R N E E T,ग ु र न ी त
1966,S A E E D _ A Z A D,स ई द _ आ ज़ ा द
1967,M A N J I S T H A,म ं ज ि ष ् ठ ा
1968,G O T H A J,ग ो थ ज
1969,E A S T _ N I M A D,इ स ् ट _ न ि म ा ड ़
1970,D I B A N G _ V A L L E Y,द ि ब ं ग व ै ल ी
1971,D Y A N I _ F E I N S T E I N,ड ा य न ी _ फ ़ े न स ् ट ि न
1972,M O S C O W,म ॉ स ् क ो
1973,P H A R M A X I S _ L I M I T E D,फ ़ ा र ् म ा ए क ् स ि स _ ल ि म ि ट े ड
1974,F R A N C I S,फ ् र ा ं स ि स
1975,J O H N _ C A R R Y,ज ॉ न _ क ॅ र ी
1976,C H A V A L K H E D E,च व ल ख े ड ़ े
1977,J A I S U K H,ज य स ु ख
1978,L A L O,ल ै ल ो
1979,G A N G A _ A U R _ S U R A J,ग ं ग ा _ औ र _ स ू र ज
1980,H A R D A,ह र द ा
1981,G A V I N _ R E N N I E,ग े व ि न _ र े न ी
1982,P L A T I N U M,प ् ल े ट ि न म
1983,M O R P H Y _ R I C H A R D S,म ॉ र ् फ ़ ी _ र ि च र ् ड ् स
1984,B E H T A G O K U L,ब ह त ा ग ो क ु ल
1985,K A L A H A R I _ G E M S B O K,क ल ा ह ा र ी _ ज े म ् स ब ॉ क
1986,T A W B A H,त ौ ब ा ह
1987,F O R T _ M O N C K T O N,फ ो र ् ट _ म ॉ न ् क ट न
1988,M I Z M A R,म ि ज़ म ा र
1989,B A D I _ B E H A N,ब ड ़ ी _ ब ह न
1990,D U L L O,ड ु ल ् ल ो
